method,number of jobs,number of machines,game,time,makespan,iteration
Brute-force,5,3,G1,0.003770113,6.5253909,/
MMAS,5,3,G1,0.110120058,6.6471138,4
iML,5,3,G1,17,6.7834351,1
Brute-force,5,3,G2,0.003872156,6.1602954,/
MMAS,5,3,G2,0.094216585,6.3184225,31
iML,5,3,G2,15,6.2351906,5
Brute-force,5,3,G3,0.00373435,6.8826984,/
MMAS,5,3,G3,0.115413666,6.9075385,9
iML,5,3,G3,17,7.2791064,1
Brute-force,5,3,G4,0.003714323,6.9414873,/
MMAS,5,3,G4,0.093817949,7.0238542,12
iML,5,3,G4,25,7.10122,5
Brute-force,5,3,G5,0.004127026,6.0634216,/
MMAS,5,3,G5,0.115045071,6.3485688,14
iML,5,3,G5,27,6.3129582,6
Brute-force,10,2,G1,83.30374169,9.2682725,/
MMAS,10,2,G1,0.181340933,9.6977888,26
iML,10,2,G1,35,9.2682725,2
Brute-force,10,2,G2,84.4,9.6339725,/
MMAS,10,2,G2,0.198517323,9.8374925,31
iML,10,2,G2,36,9.6339725,4
Brute-force,10,2,G3,85.1,11.1230399,/
MMAS,10,2,G3,0.221882343,11.1230399,1
iML,10,2,G3,45,11.1230399,1
Brute-force,10,2,G4,86.37192369,9.066671,/
MMAS,10,2,G4,0.184483051,9.1812999,1
iML,10,2,G4,26,9.1812999,1
Brute-force,10,2,G5,84.9,9.5039846,/
MMAS,10,2,G5,0.196938038,9.6376181,1
iML,10,2,G5,27,9.5039846,6
Brute-force,10,4,G1,178.9410148,11.3734973,/
MMAS,10,4,G1,0.189893723,12.1202911,10
iML,10,4,G1,53,11.8779327,5
Brute-force,10,4,G2,307.4364469,12.4004835,/
MMAS,10,4,G2,0.353585958,12.9334973,9
iML,10,4,G2,50,12.6746512,6
Brute-force,10,4,G3,247.0759075,13.6683236,/
MMAS,10,4,G3,0.223593473,13.8740219,6
iML,10,4,G3,64,13.6683236,2
Brute-force,10,4,G4,199.9834394,11.7234819,/
MMAS,10,4,G4,0.266783476,12.6564263,7
iML,10,4,G4,49,12.4164355,6
Brute-force,10,4,G5,396.1303909,12.2412591,/
MMAS,10,4,G5,0.29538846,12.5832403,90
iML,10,4,G5,56,12.4368747,7
Brute-force,12,2,G1,/,/,/
MMAS,12,2,G1,0.458205938,11.6248046,4
iML,12,2,G1,30,11.6248046,2
Brute-force,12,2,G2,/,/,/
MMAS,12,2,G2,1.152047873,12.4282974,2
iML,12,2,G2,25,11.7428873,3
Brute-force,12,2,G3,/,/,/
MMAS,12,2,G3,0.361504555,12.8747889,1
iML,12,2,G3,34,12.6610465,4
Brute-force,12,2,G4,/,/,/
MMAS,12,2,G4,0.39509511,12.8682583,1
iML,12,2,G4,24,12.7293463,2
Brute-force,12,2,G5,/,/,/
MMAS,12,2,G5,0.406047583,10.5901564,61
iML,12,2,G5,23,10.5901564,2
Brute-force,12,4,G1,/,/,/
MMAS,12,4,G1,0.42740941,13.43632,5
iML,12,4,G1,63,13.0165681,8
Brute-force,12,4,G2,/,/,/
MMAS,12,4,G2,0.397358656,13.0776304,79
iML,12,4,G2,63,12.0847107,4
Brute-force,12,4,G3,/,/,/
MMAS,12,4,G3,0.975494623,14.7782712,32
iML,12,4,G3,57,14.605346,8
Brute-force,12,4,G4,/,/,/
MMAS,12,4,G4,0.409931183,14.721631,1
iML,12,4,G4,43,14.721631,1
Brute-force,12,4,G5,/,/,/
MMAS,12,4,G5,0.476909876,13.9151453,97
iML,12,4,G5,53,12.8905017,6
Brute-force,12,6,G1,/,/,/
MMAS,12,6,G1,0.48502636,17.0964816,2
iML,12,6,G1,95,16.9042711,10
Brute-force,12,6,G2,/,/,/
MMAS,12,6,G2,0.496551752,16.7340482,79
iML,12,6,G2,80,15.0452139,6
Brute-force,12,6,G3,/,/,/
MMAS,12,6,G3,0.711803913,17.877138,38
iML,12,6,G3,70,17.7058208,6
Brute-force,12,6,G4,/,/,/
MMAS,12,6,G4,0.491947412,17.9998673,53
iML,12,6,G4,91,18.0503434,6
Brute-force,12,6,G5,/,/,/
MMAS,12,6,G5,0.485041857,17.2868766,58
iML,12,6,G5,80,16.3038224,13
