method,number of jobs,number of machines,game,time,makespan,iteration
Brute-force,5,3,G1,0.003770113,6.5253909,/
MMAS,5,3,G1,0.16552658081054689,6.619349193333334,31
iML,5,3,G1,17,6.7834351,1
Brute-force,5,3,G2,0.003872156,6.1602954,/
MMAS,5,3,G2,0.15639988581339517,6.24532077,24
iML,5,3,G2,15,6.2351906,5
Brute-force,5,3,G3,0.00373435,6.8826984,/
MMAS,5,3,G3,0.13009850978851317,6.986211833333333,41
iML,5,3,G3,17,7.2791064,1
Brute-force,5,3,G4,0.003714323,6.9414873,/
MMAS,5,3,G4,0.2004851500193278,7.013257983333332,31
iML,5,3,G4,25,7.10122,5
Brute-force,5,3,G5,0.004127026,6.0634216,/
MMAS,5,3,G5,0.21565277576446534,6.161710593333333,28
iML,5,3,G5,27,6.3129582,6
Brute-force,10,2,G1,83.30374169,9.2682725,/
MMAS,10,2,G1,0.09224757353464762,9.531133223333336,28
iML,10,2,G1,35,9.2682725,2
Brute-force,10,2,G2,84.4,9.6339725,/
MMAS,10,2,G2,0.09820653597513834,9.73780331,29
iML,10,2,G2,36,9.6339725,4
Brute-force,10,2,G3,85.1,11.1230399,/
MMAS,10,2,G3,0.09363203048706055,11.123039899999998,19
iML,10,2,G3,45,11.1230399,1
Brute-force,10,2,G4,86.37192369,9.066671,/
MMAS,10,2,G4,0.08968962033589681,9.152013653333334,23
iML,10,2,G4,26,9.1812999,1
Brute-force,10,2,G5,84.9,9.5039846,/
MMAS,10,2,G5,0.09634032249450683,9.63070081,40
iML,10,2,G5,27,9.5039846,6
Brute-force,10,4,G1,178.9410148,11.3734973,/
MMAS,10,4,G1,0.1416781743367513,12.386442170000002,25
iML,10,4,G1,53,11.8779327,5
Brute-force,10,4,G2,307.4364469,12.4004835,/
MMAS,10,4,G2,0.12411553064982096,12.797739153333335,23
iML,10,4,G2,50,12.6746512,6
Brute-force,10,4,G3,247.0759075,13.6683236,/
MMAS,10,4,G3,0.1320799191792806,13.808205619999999,31
iML,10,4,G3,64,13.6683236,2
Brute-force,10,4,G4,199.9834394,11.7234819,/
MMAS,10,4,G4,0.11941467126210531,12.622073160000001,29
iML,10,4,G4,49,12.4164355,6
Brute-force,10,4,G5,396.1303909,12.2412591,/
MMAS,10,4,G5,0.11945884227752686,12.839748209999998,34
iML,10,4,G5,56,12.4368747,7
Brute-force,12,2,G1,/,/,/
MMAS,12,2,G1,0.1514339288075765,11.671229303333337,14
iML,12,2,G1,30,11.6248046,2
Brute-force,12,2,G2,/,/,/
MMAS,12,2,G2,0.14005043506622314,11.991447606666668,29
iML,12,2,G2,25,11.7428873,3
Brute-force,12,2,G3,/,/,/
MMAS,12,2,G3,0.13431816895802814,12.875123346666665,29
iML,12,2,G3,34,12.6610465,4
Brute-force,12,2,G4,/,/,/
MMAS,12,2,G4,0.12761742273966473,12.750990709999996,36
iML,12,2,G4,24,12.7293463,2
Brute-force,12,2,G5,/,/,/
MMAS,12,2,G5,0.11782310803731283,10.806508443333334,22
iML,12,2,G5,23,10.5901564,2
Brute-force,12,4,G1,/,/,/
MMAS,12,4,G1,0.13727757930755616,13.384953530000002,35
iML,12,4,G1,63,13.0165681,8
Brute-force,12,4,G2,/,/,/
MMAS,12,4,G2,0.13687792619069417,12.826497863333335,24
iML,12,4,G2,63,12.0847107,4
Brute-force,12,4,G3,/,/,/
MMAS,12,4,G3,0.14275767803192138,14.832978436666668,37
iML,12,4,G3,57,14.605346,8
Brute-force,12,4,G4,/,/,/
MMAS,12,4,G4,0.13913091818491619,15.071675846666672,31
iML,12,4,G4,43,14.721631,1
Brute-force,12,4,G5,/,/,/
MMAS,12,4,G5,0.1422100861867269,13.909539083333337,22
iML,12,4,G5,53,12.8905017,6
Brute-force,12,6,G1,/,/,/
MMAS,12,6,G1,0.23783435026804606,17.24313519666667,21
iML,12,6,G1,95,16.9042711,10
Brute-force,12,6,G2,/,/,/
MMAS,12,6,G2,0.42744834423065187,16.318914583333335,17
iML,12,6,G2,80,15.0452139,6
Brute-force,12,6,G3,/,/,/
MMAS,12,6,G3,0.37268863519032797,17.353663613333335,21
iML,12,6,G3,70,17.7058208,6
Brute-force,12,6,G4,/,/,/
MMAS,12,6,G4,0.441915225982666,17.49439170666666,23
iML,12,6,G4,91,18.0503434,6
Brute-force,12,6,G5,/,/,/
MMAS,12,6,G5,0.4268385887145996,16.968743299999996,17
iML,12,6,G5,80,16.3038224,13
GA,10,2,G1,/,9.4155646,64
GA,10,2,G2,/,9.6339724,12
GA,10,2,G3,/,9.0666679,19
GA,10,2,G4,/,11.1230396,98
GA,10,2,G5,/,9.503982,32
GA,10,4,G1,/,13.6683231,84
GA,10,4,G2,/,12.400483,54
GA,10,4,G3,/,12.0330853,74
GA,10,4,G4,/,12.4898725,39
GA,10,4,G5,/,12.3795686,55
GA,12,2,G1,/,11.7428854,79
GA,12,2,G2,/,12.7293444,10
GA,12,2,G3,/,12.6610441,44
GA,12,2,G4,/,11.6248045,64
GA,12,2,G5,/,10.5901529,15
GA,12,4,G1,/,12.9735981,24
GA,12,4,G2,/,11.9443579,84
GA,12,4,G3,/,14.6060457,30
GA,12,4,G4,/,14.4865641,82
GA,12,4,G5,/,13.1399377,26
GA,12,6,G1,/,16.1044744,84
GA,12,6,G2,/,14.9511505,87
GA,12,6,G3,/,16.6810262,94
GA,12,6,G4,/,16.6084295,82
GA,12,6,G5,/,15.5030061,74
GA,5,3,G1,/,6.5253901,20
GA,5,3,G2,/,6.1602953,25
GA,5,3,G3,/,6.8826967,59
GA,5,3,G4,/,6.9414867,4
GA,5,3,G5,/,6.0634202,21
